Local Time,UTC Time,City,Country Code,Timezone,AQI,CO,NO2,O3,PM10,PM25,SO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,UV Index,Wind Speed
2013-01-01 00:00:00,2012-12-31 17:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,141,827.2,54.2,27.4,125.7,78.4,20.7,83,0.0,1009.1,96.3,25.8,8.6,8.8
2013-01-01 01:00:00,2012-12-31 18:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,91,608.0,40.5,60.6,86.7,51.0,15.2,51,0.0,1017.5,87.2,29.6,2.3,2.2
2013-01-01 02:00:00,2012-12-31 19:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,105,668.0,44.2,12.0,94.0,58.5,16.7,20,0.0,1000.9,77.3,14.5,10.0,2.2
2013-01-01 03:00:00,2012-12-31 20:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,103,660.8,43.8,55.1,93.6,57.6,16.5,77,0.0,1006.3,42.6,23.5,1.9,7.3
2013-01-01 04:00:00,2012-12-31 21:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,174,977.6,63.6,47.5,157.9,97.2,24.4,64,0.0,1001.8,41.3,31.9,9.5,6.6
2013-01-01 05:00:00,2012-12-31 22:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,135,800.0,52.5,60.4,118.1,75.0,20.0,46,0.0,1018.9,85.0,28.1,0.3,0.9
2013-01-01 06:00:00,2012-12-31 23:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,107,678.4,44.9,59.7,96.9,59.8,17.0,90,0.0,1009.1,63.5,26.9,4.4,8.5
2013-01-01 07:00:00,2013-01-01 00:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,130,779.2,51.2,21.4,121.7,72.4,19.5,34,0.0,1008.2,63.7,26.1,10.7,7.0
2013-01-01 08:00:00,2013-01-01 01:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,95,625.6,41.6,17.2,93.0,53.2,15.6,48,0.0,999.4,80.3,19.2,0.3,6.7
2013-01-01 09:00:00,2013-01-01 02:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,114,708.8,46.8,46.3,105.9,63.6,17.7,51,0.0,1017.6,70.2,14.7,3.2,3.5
2013-01-01 10:00:00,2013-01-01 03:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,97,633.6,42.1,77.1,89.5,54.2,15.8,88,0.0,1002.9,78.6,12.4,2.5,6.0
