Local Time,UTC Time,City,Country Code,Timezone,AQI,CO,NO2,O3,PM10,PM25,SO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,UV Index,Wind Speed
2013-01-01 00:00:00,2012-12-31 17:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,126,763.2,50.2,45.4,114.4,70.4,19.1,46,0.0,1017.9,85.1,21.9,8.2,5.2
2013-01-01 01:00:00,2012-12-31 18:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,142,832.0,54.5,34.8,132.9,79.0,20.8,43,0.0,1007.1,60.3,32.9,4.8,9.1
2013-01-01 02:00:00,2012-12-31 19:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,116,719.2,47.4,54.7,110.3,64.9,18.0,59,0.0,1011.5,97.8,14.2,0.7,4.0
2013-01-01 03:00:00,2012-12-31 20:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,104,666.4,44.2,53.1,100.8,58.3,16.7,89,0.0,1007.8,46.7,25.9,0.3,6.3
2013-01-01 04:00:00,2012-12-31 21:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,148,860.8,56.3,43.1,133.4,82.6,21.5,51,0.0,1002.2,85.2,15.8,5.8,5.4
2013-01-01 05:00:00,2012-12-31 22:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,108,683.2,45.2,74.4,100.8,60.4,17.1,30,0.0,1015.5,89.4,17.8,3.6,7.1
2013-01-01 06:00:00,2012-12-31 23:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,145,846.4,55.4,59.7,128.3,80.8,21.2,87,0.0,997.8,54.5,28.0,0.2,7.1
2013-01-01 07:00:00,2013-01-01 00:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,129,773.6,50.8,51.7,121.2,71.7,19.3,85,0.0,1001.5,45.3,11.2,1.2,8.9
2013-01-01 08:00:00,2013-01-01 01:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,253,1326.4,85.4,71.6,222.5,140.8,33.2,58,0.0,998.6,58.5,14.5,1.5,5.9
2013-01-01 09:00:00,2013-01-01 02:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,188,1036.8,67.3,15.0,170.7,104.6,25.9,29,0.0,1011.4,45.5,32.1,4.1,2.6
2013-01-01 10:00:00,2013-01-01 03:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,190,1048.8,68.0,75.0,167.1,106.1,26.2,50,0.0,1000.8,50.9,36.4,1.5,0.7
2013-01-01 11:00:00,2013-01-01 04:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,111,695.2,46.0,19.9,98.3,61.9,17.4,92,0.0,997.1,69.1,19.9,10.6,8.7
2013-01-01 12:00:00,2013-01-01 05:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,71,516.0,34.8,57.1,73.7,39.5,12.9,66,0.0,995.5,79.9,14.7,12.0,1.0
2013-01-01 13:00:00,2013-01-01 06:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,133,792.8,52.0,78.4,126.0,74.1,19.8,40,0.0,1004.7,75.8,19.3,1.8,9.7
2013-01-01 14:00:00,2013-01-01 07:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,95,623.2,41.4,24.2,91.8,52.9,15.6,78,0.0,1000.6,60.3,23.5,9.4,3.8
2013-01-01 15:00:00,2013-01-01 08:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,100,648.8,43.0,49.2,90.9,56.1,16.2,66,0.0,1006.7,77.9,36.2,10.3,3.0
2013-01-01 16:00:00,2013-01-01 09:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,219,1176.8,76.0,49.7,192.6,122.1,29.4,87,0.0,1005.0,76.2,19.5,2.6,7.0
2013-01-01 17:00:00,2013-01-01 10:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,212,1146.4,74.2,38.6,190.9,118.3,28.7,74,0.0,1004.6,94.4,37.4,11.4,3.2
2013-01-01 18:00:00,2013-01-01 11:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,189,1043.2,67.7,75.3,172.5,105.4,26.1,74,0.0,1007.7,98.0,12.7,11.0,6.5
2013-01-01 19:00:00,2013-01-01 12:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,196,1073.6,69.6,18.6,170.3,109.2,26.8,89,0.0,1014.8,77.4,19.8,4.7,5.1
2013-01-01 20:00:00,2013-01-01 13:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,196,1073.6,69.6,59.6,174.6,109.2,26.8,43,0.0,1002.1,53.6,25.0,4.2,9.7
2013-01-01 21:00:00,2013-01-01 14:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,104,666.4,44.2,26.7,94.7,58.3,16.7,66,0.0,995.3,81.0,15.7,1.1,3.7
